actor,description,genre,public,score,title,year
"Billy Bob Thornton,Allison Tolman,Martin Freeman","Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.","Crime,Drama,Thriller",TV-MA,8.9,Fargo,2014–2023
,Documentary about the music group The Beatles featuring in-studio footage that was shot in early 1969 for the 1970 feature film 'Let It Be.',"Documentary,Biography,Music",PG-13,9.0,The Beatles: Get Back,2021
"Cansu Dere,Haluk Bilginer,Metin Akdülger",A man diagnosed with Alzheimer's decides to punish criminals.,"Crime,Drama,Mystery",TV-MA,9.0,Persona,2018
"Olgierd Lukaszewicz,Olaf Lubaszenko,Artur Barcis","Ten television drama films, each one based on one of the Ten Commandments.",Drama,TV-MA,9.0,Dekalog,1989–1990
"Michael Richards,Jerry Seinfeld,Julia Louis-Dreyfus",The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.,Comedy,TV-PG,8.9,Seinfeld,1989–1998
"Vince Vaughn,Colin Farrell,Rachel McAdams","Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.","Crime,Drama,Mystery",TV-MA,8.9,True Detective,2014– 
"Issei Futamata,Cristina Valenzuela,Megumi Han","Gon Freecss aspires to become a Hunter, an exceptional being capable of greatness. With his friends and his potential, he seeks out his father, who left him when he was younger.","Animation,Action,Adventure",TV-14,9.0,Hunter x Hunter,2011–2014
"David McCullough,Sam Waterston,Julie Harris",A comprehensive survey of the American Civil War.,"Documentary,History,War",TV-14,9.1,The Civil War,1990
"Roger Lloyd Pack,David Jason,Nicholas Lyndhurst",Comedy that follows two brothers from London's rough Peckham estate as they wheel and deal through a number of dodgy deals and search for the big score that'll make them millionaires.,Comedy,TV-PG,9.0,Only Fools and Horses,1981–2003
"Kaleb Cooper,Charlie Ireland,Jeremy Clarkson",Follow Jeremy Clarkson as he attempts to run a farm in the countryside.,"Documentary,Comedy,Reality-TV",TV-PG,9.0,Clarkson's Farm,2021– 
"Vincent Tong,Mamoru Miyano,Brad Swaile",An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.,"Animation,Crime,Drama",TV-14,9.0,Death Note,2006–2007
