genre,title
"Drama,Mystery",Incendies
"Crime,Drama",Scarface
"Drama,War",Full Metal Jacket
"Crime,Sci-Fi",A Clockwork Orange
"Comedy,Romance",Amélie
"Crime,Drama,Film-Noir",Double Indemnity
"Comedy,Drama,Romance",The Apartment
"Crime,Mystery,Thriller",M
Drama,Ikiru
"Action,Adventure,Mystery",North by Northwest
"Adventure,Biography,Drama",Lawrence of Arabia
"Drama,Mystery",Citizen Kane
"Mystery,Romance,Thriller",Vertigo
"Crime,Thriller",Reservoir Dogs
Drama,The Hunt
"Drama,Thriller,War",Come and See
"Drama,Romance,Sci-Fi",Eternal Sunshine of the Spotless Mind
Drama,Capernaum
"Adventure,Sci-Fi",2001: A Space Odyssey
Drama,Requiem for a Dream
"Animation,Adventure,Comedy",Toy Story 3
"Comedy,Musical,Romance",Singin' in the Rain
"Action,Adventure,Fantasy",Star Wars: Episode VI - Return of the Jedi
"Animation,Drama,Fantasy",Your Name.
"Comedy,Drama",3 Idiots
"Drama,Romance",Good Will Hunting
"Crime,Drama",Once Upon a Time in America
"Drama,War",Das Boot
"Crime,Drama,Mystery",High and Low
"Animation,Action,Adventure",Princess Mononoke
"Action,Adventure,Drama",Avengers: Endgame
"Crime,Drama,Thriller",Joker
"Biography,Drama,History",Braveheart
"Animation,Adventure,Comedy",Coco
"Animation,Adventure,Comedy",Toy Story
"Adventure,Drama,War",Inglourious Basterds
"Comedy,War",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
"Action,Drama,Mystery",Oldboy
"Action,Drama,Thriller",The Dark Knight Rises
"Biography,Drama,Music",Amadeus
Drama,American Beauty
"Action,Adventure,Sci-Fi",Aliens
"Animation,Action,Adventure",Spider-Man: Into the Spider-Verse
"Comedy,Drama,War",The Great Dictator
"Drama,Horror",The Shining
"Action,Adventure,Sci-Fi",Avengers: Infinity War
"Drama,War",Paths of Glory
"Crime,Drama,Mystery",Witness for the Prosecution
"Drama,Film-Noir",Sunset Blvd.
"Drama,Mystery,Thriller",The Lives of Others
"Action,Adventure",Raiders of the Lost Ark
"Mystery,Thriller",Memento
"Drama,Mystery,War",Apocalypse Now
"Drama,Western",Django Unchained
"Animation,Adventure,Family",WALL·E
"Comedy,Drama,Romance",City Lights
"Mystery,Thriller",Rear Window
"Horror,Sci-Fi",Alien
"Biography,Comedy,Drama",The Intouchables
"Drama,Romance",Cinema Paradiso
"Comedy,Drama,Romance",Modern Times
Western,Once Upon a Time in the West
"Action,Drama,Mystery",Harakiri
"Crime,Drama,Mystery",The Usual Suspects
"Drama,Mystery,Sci-Fi",The Prestige
"Animation,Drama,War",Grave of the Fireflies
"Drama,Romance,War",Casablanca
"Drama,Music",Whiplash
"Crime,Drama,Thriller",The Departed
"Crime,Drama",American History X
"Action,Adventure,Drama",Gladiator
"Animation,Adventure,Drama",The Lion King
"Action,Crime,Drama",Léon: The Professional
"Horror,Mystery,Thriller",Psycho
"Drama,Thriller",Parasite
"Adventure,Comedy,Sci-Fi",Back to the Future
"Action,Sci-Fi",Terminator 2: Judgment Day
"Biography,Drama,Music",The Pianist
"Animation,Adventure,Family",Spirited Away
"Crime,Drama,Fantasy",The Green Mile
"Action,Adventure,Fantasy",Star Wars: Episode IV - A New Hope
"Adventure,Drama,Sci-Fi",Interstellar
"Comedy,Drama,Romance",Life Is Beautiful
"Crime,Drama",City of God
"Drama,War",Saving Private Ryan
"Crime,Drama,Thriller",The Silence of the Lambs
"Action,Drama",Seven Samurai
"Crime,Drama,Mystery",Se7en
"Drama,Family,Fantasy",It's a Wonderful Life
"Biography,Crime,Drama",Goodfellas
Drama,One Flew Over the Cuckoo's Nest
